family,dataset,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,K,n_concepts,n_pca_components,LPS_text,LPS_image_only,LPS_image_conditioned,NRI_image_conditioned,shared_neighbor_ratio,cross_superclass_gained_frac,random_shared_baseline,align_fit_proxy
qwen,pixelprose,5,0.7142857142857142,25,25,25,3,120,16,0.05963333333333332,0.0606125,0.108825,0.7527777777777777,0.2472222222222222,0.5966386554621849,0.025210084033613446,-0.020595597197504256
qwen,pixelprose,5,0.7142857142857142,25,25,25,5,120,16,0.08236931025132276,0.0821875580026455,0.14317499887566135,0.7033333333333334,0.2966666666666667,0.6522222222222224,0.04201680672268908,-0.020595597197504256
qwen,pixelprose,5,0.7142857142857142,25,25,25,10,120,16,0.13778818633559226,0.1331216533822669,0.22037018325995572,0.6058333333333332,0.39416666666666667,0.7740443121693122,0.08403361344537816,-0.020595597197504256
qwen,pixelprose,5,0.7142857142857142,25,25,25,20,120,16,0.1969710672022334,0.19026351653061715,0.29588521267816714,0.5345833333333333,0.46541666666666665,0.8999636474636474,0.16806722689075632,-0.020595597197504256
qwen,pixelprose,6,0.8571428571428571,30,30,30,3,120,16,0.07675416666666665,0.06182083333333333,0.10934583333333332,0.7527777777777777,0.24722222222222223,0.5070028011204482,0.025210084033613446,-0.08181796432743171
qwen,pixelprose,6,0.8571428571428571,30,30,30,5,120,16,0.10894505939153439,0.07875968472222222,0.15288774768518515,0.675,0.32500000000000007,0.6091666666666667,0.04201680672268908,-0.08181796432743171
qwen,pixelprose,6,0.8571428571428571,30,30,30,10,120,16,0.1682169237936545,0.14333679257939663,0.22112110048025668,0.6058333333333332,0.39416666666666667,0.7523842592592592,0.08403361344537816,-0.08181796432743171
qwen,pixelprose,6,0.8571428571428571,30,30,30,20,120,16,0.22438321154213722,0.19387171108481213,0.29401439817327646,0.5416666666666666,0.4583333333333333,0.9047944001804297,0.16806722689075632,-0.08181796432743171
qwen,pixelprose,7,1.0,35,35,35,3,120,16,0.07964166666666667,0.04779166666666666,0.06385833333333334,0.8527777777777777,0.1472222222222222,0.6152777777777778,0.025210084033613446,-3.4659268809200734
qwen,pixelprose,7,1.0,35,35,35,5,120,16,0.09592821891534391,0.07109623002645503,0.08474720489417989,0.8200000000000001,0.18000000000000002,0.6836111111111111,0.04201680672268908,-3.4659268809200734
qwen,pixelprose,7,1.0,35,35,35,10,120,16,0.1446308049791474,0.11793526191761552,0.14006310919557913,0.7333333333333333,0.26666666666666666,0.8226851851851851,0.08403361344537816,-3.4659268809200734
qwen,pixelprose,7,1.0,35,35,35,20,120,16,0.1959869734246219,0.17234393601507011,0.19754185657663564,0.6620833333333332,0.33791666666666664,0.9264045696950108,0.16806722689075632,-3.4659268809200734
