family,dataset,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,K,n_concepts,n_pca_components,LPS_text,LPS_image_only,LPS_image_conditioned,NRI_image_conditioned,shared_neighbor_ratio,cross_superclass_gained_frac,random_shared_baseline,align_fit_proxy
pali,coco_karpathy,4,0.5714285714285714,14,14,14,3,120,16,0.06823749999999999,0.06004166666666666,0.08125833333333332,0.8166666666666667,0.18333333333333332,0.6291666666666667,0.025210084033613446,-0.3872012176881219
pali,coco_karpathy,4,0.5714285714285714,14,14,14,5,120,16,0.09287193201058201,0.08736190575396825,0.11071258882275133,0.77,0.23,0.638611111111111,0.04201680672268908,-0.3872012176881219
pali,coco_karpathy,4,0.5714285714285714,14,14,14,10,120,16,0.15181915276811397,0.1537130542743501,0.17513226049297018,0.6824999999999999,0.3175,0.7616468253968254,0.08403361344537816,-0.3872012176881219
pali,coco_karpathy,4,0.5714285714285714,14,14,14,20,120,16,0.2144336034664422,0.21315511568941448,0.2379425551229478,0.615,0.385,0.8809653942548679,0.16806722689075632,-0.3872012176881219
pali,coco_karpathy,5,0.7142857142857142,18,18,18,3,120,16,0.07455833333333332,0.072025,0.09187499999999998,0.7916666666666666,0.20833333333333334,0.5861111111111111,0.025210084033613446,-0.3755824809773338
pali,coco_karpathy,5,0.7142857142857142,18,18,18,5,120,16,0.09788661395502646,0.09878533749999999,0.1267480228174603,0.7416666666666667,0.25833333333333336,0.6545833333333333,0.04201680672268908,-0.3755824809773338
pali,coco_karpathy,5,0.7142857142857142,18,18,18,10,120,16,0.17220483353734406,0.17803100419516305,0.2051487634684679,0.6333333333333333,0.36666666666666664,0.7784391534391535,0.08403361344537816,-0.3755824809773338
pali,coco_karpathy,5,0.7142857142857142,18,18,18,20,120,16,0.22921305666434771,0.23273920942191967,0.26864017501250687,0.5729166666666666,0.4270833333333333,0.8913372588740235,0.16806722689075632,-0.3755824809773338
pali,coco_karpathy,6,0.8571428571428571,21,21,21,3,120,16,0.08069166666666666,0.077625,0.09985833333333334,0.7694444444444445,0.23055555555555554,0.5944444444444446,0.025210084033613446,-0.2065629985888744
pali,coco_karpathy,6,0.8571428571428571,21,21,21,5,120,16,0.1069429783068783,0.11160491388888891,0.13477788584656084,0.7183333333333334,0.2816666666666667,0.6606944444444445,0.04201680672268908,-0.2065629985888744
pali,coco_karpathy,6,0.8571428571428571,21,21,21,10,120,16,0.1906757851466121,0.18768265770805165,0.22486862245145883,0.5958333333333333,0.40416666666666673,0.7745866402116401,0.08403361344537816,-0.2065629985888744
pali,coco_karpathy,6,0.8571428571428571,21,21,21,20,120,16,0.2504394026255599,0.24581619327424797,0.2917266824358544,0.5404166666666668,0.4595833333333334,0.9026492910684087,0.16806722689075632,-0.2065629985888744
pali,coco_karpathy,7,1.0,25,25,25,3,120,16,0.048241666666666655,0.05894583333333332,0.062162499999999996,0.8555555555555555,0.14444444444444443,0.5777777777777777,0.025210084033613446,-0.6584016333269476
pali,coco_karpathy,7,1.0,25,25,25,5,120,16,0.07931895515873015,0.07548318637566137,0.09344961898148148,0.7933333333333332,0.20666666666666667,0.6325000000000001,0.04201680672268908,-0.6584016333269476
pali,coco_karpathy,7,1.0,25,25,25,10,120,16,0.14785330569289448,0.1420432984126021,0.15803777637286,0.6966666666666667,0.30333333333333334,0.7463921957671958,0.08403361344537816,-0.6584016333269476
pali,coco_karpathy,7,1.0,25,25,25,20,120,16,0.2082839106496916,0.19707090316651144,0.22672424477875286,0.6125,0.3875,0.8711380612851201,0.16806722689075632,-0.6584016333269476
